portfolio_id,portfolio_name,description,reg_date,fees_amount
385,Speculative TW,Music source kind hand employee field a spring summer.,2022-09-19,11290.99
386,Balanced SE,Across two water local across involve fall discuss account health.,2023-04-18,12248.73
387,Speculative JB,Economic resource position stock determine bad personal might.,2025-01-03,4948.48
388,Balanced ZS,Expect sea speak include table consumer face.,2025-03-17,3484.15
389,LongTerm DN,Evening performance could affect anyone movement control bill especially.,2023-07-10,11508.61
390,Income UA,Bed address describe inside size marriage he.,2025-09-20,12295.69
391,Income YC,Bag seek certainly entire hotel myself consider time.,2021-12-01,14867.07
392,Speculative YA,Window research his window east yes.,2021-06-26,6776.65
393,Speculative DV,Miss word list race fine.,2022-07-16,6208.25
394,Income KO,Seat near business loss federal.,2022-11-09,11869.78
395,LongTerm DQ,Wind door its address some once.,2023-02-27,5771.25
396,LongTerm YP,Why ok real read.,2021-02-09,14030.6
397,Balanced XX,Eat matter rather full wide.,2025-02-09,13017.78
398,Speculative DD,Popular red social call discussion word small series.,2023-07-11,7005.92
399,LongTerm UM,Ready group care together.,2023-12-02,11512.19
400,Growth TC,Far recent couple cost girl run every story trial never.,2020-05-17,11563.6
